R;ADC;T
964.96;350;94.34;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
587.25;213;21.34;
587.25;213;21.34;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
584.49;212;20.72;
587.25;213;21.34;
584.49;212;20.72;
587.25;213;21.34;
590.00;214;21.97;
584.49;212;20.72;
590.00;214;21.97;
590.00;214;21.97;
587.25;213;21.34;
592.76;215;22.60;
587.25;213;21.34;
584.49;212;20.72;
590.00;214;21.97;
587.25;213;21.34;
587.25;213;21.34;
587.25;213;21.34;
590.00;214;21.97;
592.76;215;22.60;
590.00;214;21.97;
590.00;214;21.97;
590.00;214;21.97;
590.00;214;21.97;
590.00;214;21.97;
592.76;215;22.60;
590.00;214;21.97;
592.76;215;22.60;
590.00;214;21.97;
592.76;215;22.60;
595.52;216;23.22;
590.00;214;21.97;
592.76;215;22.60;
590.00;214;21.97;
592.76;215;22.60;
598.28;217;23.84;
592.76;215;22.60;
592.76;215;22.60;
595.52;216;23.22;
595.52;216;23.22;
598.28;217;23.84;
595.52;216;23.22;
595.52;216;23.22;
598.28;217;23.84;
595.52;216;23.22;
595.52;216;23.22;
598.28;217;23.84;
598.28;217;23.84;
598.28;217;23.84;
595.52;216;23.22;
598.28;217;23.84;
601.03;218;24.46;
595.52;216;23.22;
598.28;217;23.84;
601.03;218;24.46;
598.28;217;23.84;
598.28;217;23.84;
601.03;218;24.46;
598.28;217;23.84;
601.03;218;24.46;
601.03;218;24.46;
601.03;218;24.46;
601.03;218;24.46;
601.03;218;24.46;
606.55;220;25.69;
601.03;218;24.46;
603.79;219;25.08;
606.55;220;25.69;
603.79;219;25.08;
603.79;219;25.08;
609.30;221;26.31;
606.55;220;25.69;
606.55;220;25.69;
606.55;220;25.69;
606.55;220;25.69;
609.30;221;26.31;
606.55;220;25.69;
609.30;221;26.31;
609.30;221;26.31;
609.30;221;26.31;
612.06;222;26.92;
612.06;222;26.92;
609.30;221;26.31;
612.06;222;26.92;
609.30;221;26.31;
614.82;223;27.53;
612.06;222;26.92;
612.06;222;26.92;
614.82;223;27.53;
614.82;223;27.53;
614.82;223;27.53;
620.33;225;28.75;
614.82;223;27.53;
617.57;224;28.14;
620.33;225;28.75;
617.57;224;28.14;
620.33;225;28.75;
620.33;225;28.75;
617.57;224;28.14;
623.09;226;29.35;
617.57;224;28.14;
623.09;226;29.35;
623.09;226;29.35;
623.09;226;29.35;
625.85;227;29.95;
623.09;226;29.35;
625.85;227;29.95;
625.85;227;29.95;
625.85;227;29.95;
625.85;227;29.95;
625.85;227;29.95;
628.60;228;30.56;
628.60;228;30.56;
628.60;228;30.56;
631.36;229;31.16;
634.12;230;31.76;
631.36;229;31.16;
634.12;230;31.76;
634.12;230;31.76;
634.12;230;31.76;
636.87;231;32.35;
634.12;230;31.76;
636.87;231;32.35;
636.87;231;32.35;
636.87;231;32.35;
639.63;232;32.95;
639.63;232;32.95;
639.63;232;32.95;
642.39;233;33.54;
639.63;232;32.95;
642.39;233;33.54;
645.15;234;34.14;
645.15;234;34.14;
647.90;235;34.73;
645.15;234;34.14;
647.90;235;34.73;
653.42;237;35.91;
647.90;235;34.73;
647.90;235;34.73;
650.66;236;35.32;
650.66;236;35.32;
656.17;238;36.49;
650.66;236;35.32;
653.42;237;35.91;
656.17;238;36.49;
656.17;238;36.49;
656.17;238;36.49;
656.17;238;36.49;
658.93;239;37.08;
661.69;240;37.66;
661.69;240;37.66;
